,application_number,created_at,hotel_name,hotel_address_line_1,hotel_address_line_2,hotel_city,hotel_state,hotel_zip,hotel_status,license_in,license_out,total_in_household
1870,KFCN3M9GAU,2024-10-07 21:24:08.015343+00:00,Holiday Inn Express & Suites Ruskin,226 Teco Road,,Ruskin,FL,33570,Booked,2024-11-03,2025-01-05,4.00
1914,3XF52B87M3,2024-10-07 22:20:17.759471+00:00,La Quinta Inn by Wyndham,7500 Highway 19 N,,Pinellas Park,FL,33781,Booked,2024-10-22,2024-11-21,2.00
1918,B4PQ76PBXD,2024-10-07 22:27:15.204046+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Booked,2024-11-01,2025-02-05,2.00
1928,P4ZMTDXGCH,2024-10-07 22:36:51.730216+00:00,Holiday Inn Express & Suites,10619 US 19,,Port Richey,FL,34668,Booked,2024-10-19,2024-11-18,2.00
1931,64ZJ4U8UPW,2024-10-07 22:37:18.895461+00:00,Hyatt Place Tampa Airport/Westshore,4811 W Main St,,Tampa,FL,33607,Booked,2024-10-23,2024-11-22,2.00
1935,QLAX7KCTKT,2024-10-07 22:41:34.128531+00:00,Home2 Suites by Hilton Largo,10145 Ulmerton Road,,largo,FL,33771,Booked,2024-10-24,2024-11-23,3.00
1938,DQA4G5BUHV,2024-10-07 22:42:41.986640+00:00,Hampton Inn & Suites Port Richey,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-23,2024-11-22,5.00
1955,LHVBGQT33P,2024-10-07 22:53:30.223597+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,2.00
1970,5B55VMREMD,2024-10-07 23:04:47.529213+00:00,Quality Inn,4800 N Tamiami Trl,,Sarasota,FL,34234,Moved Out,2024-10-19,2024-10-20,2.00
1976,PNH2NAJMEG,2024-10-07 23:10:24.602432+00:00,Comfort Inn & Suites New Port Richey Downtown District,6206 US HWY 19,,New Port Richey,FL,34652,Booked,2024-10-28,2024-11-17,2.00
1977,2T2CJP9FDG,2024-10-07 23:12:52.126194+00:00,courtyard,3131 Executive Dr2,,Clearwater,FL,33762,Booked,2024-10-30,2024-11-29,1.00
2000,MF3N7KZXWV,2024-10-07 23:47:17.800943+00:00,Days Inn & Suites by Wyndham Tampa/Raymond James Stadium,5405 N Church Ave,,Tampa,FL,33614,Booked,2024-10-18,2024-11-17,2.00
2001,N4R5J9R2KF,2024-10-07 23:50:18.439117+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,3.00
2010,4U52RTL378,2024-10-08 00:09:04.988391+00:00,Country Inn & Suites,8050 US Hwy 19N,,Pinellas Par,FL,33781,Moved Out,2024-10-24,2024-10-24,2.00
2011,4U52RTL378,2024-10-08 00:09:04.988391+00:00,Crystal Palms Beach Resort,11605 Gulf Blvd,,Treasure Island,FL,33706,Booked,2024-10-28,2024-11-27,2.00
2015,P7P6FQSF7W,2024-10-08 00:16:00.259792+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,3.00
2016,3W8J2P8LZV,2024-10-08 00:19:02.237078+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,Saint Petersburg,FL,33714,Booked,2024-10-19,2024-11-19,2.00
2062,7GM8EHNVCJ,2024-10-08 12:38:51.869213+00:00,Home2 Suites by Hilton Largo,10145 Ulmerton Road,,Largo,FL,33771,Booked,2024-11-19,2024-12-18,2.00
2068,GETH6RQ3VL,2024-10-08 12:52:31.295187+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
2077,DDLF2P8DTA,2024-10-08 13:14:59.295058+00:00,SpringHill Suites by Marriott Punta Gorda Harborside,101 Harborside Ave,,Punta Gorda,FL,33950,Booked,2024-10-26,2024-11-25,1.00
2089,J2Y2W8MMA3,2024-10-08 13:30:17.605168+00:00,Days Inn by Wyndham Clearwater/Gulf to Bay,2940 Gulf to Bay Blvd,,Clearwater,FL,33781,Booked,2024-10-22,2024-11-21,1.00
2108,HWN6JRCTG3,2024-10-08 14:23:11.063900+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,3.00
2113,CJP6NVU9Y7,2024-10-08 14:47:33.168601+00:00,Comfort Suites Sarasota - Siesta Key,5690 Honore Ave,,Sarasota,FL,34233,Booked,2024-10-24,2024-11-23,1.00
2132,DG8X2Q9BDS,2024-10-08 16:08:10.586597+00:00,Best Western Plus Madison,167 SE Bandit Street,,Madison,FL,32340,Booked,2024-10-20,2024-11-19,1.00
